        x              y       Side   Disk   Ring   Module
      -4.30016      4.71559      1      9      1      8
      -6.77849      7.14113      1      9      1      8
      -5.67016      6.02153      1      9      1      8
      -4.69015      4.93441      1      9      1      8
      -5.12832       5.3599      1      9      1      8
      -4.69821       4.8414      1      9      1      8
      -4.39076      4.51172      1      9      1      8
      -4.44759      4.55401      1      9      1      8
      -5.82319      5.86851      1      9      1      8
      -5.27681      5.19726      1      9      1      8
      -7.50974      7.31898      1      9      1      8
      -5.74843      5.53267      1      9      1      8
      -6.71472      6.49192      1      9      1      8
      -5.55082      5.29137      1      9      1      8
      -7.06035      6.79758      1      9      1      8
      -4.98063      4.59349      1      9      1      8
      -5.49959      5.04527      1      9      1      8
      -6.36445      5.82528      1      9      1      8
      -7.3952       6.76006      1      9      1      8
      -6.49411      5.85595      1      9      1      8
      -5.76721      4.94519      1      9      1      8
      -5.27252      4.38801      1      9      1      8
      -5.78782      4.91278      1      9      1      8
      -4.91352      4.00312      1      9      1      8
      -7.68872      6.67891      1      9      1      8
      -7.41595      6.37119      1      9      1      8
      -8.05659      6.97649      1      9      1      8
      -7.06841      5.98249      1      9      1      8
      -5.11369      4.00117      1      9      1      8
      -7.76803      6.54297      1      9      1      8
      -5.38199      4.12931      1      9      1      8
      -5.57414      4.30527      1      9      1      8
      -7.55561      6.24569      1      9      1      8
      -6.9397        5.6015      1      9      1      8
      -6.86536      5.50594      1      9      1      8
      -6.1322       4.75246      1      9      1      8
